AVE_iter:0	EPISODE_REWARD:76.50389179775625	FINISHED_NUM:644.40625	TIME_MEAN:0.024745572052631205	TIME_STD:0.011451816838761723	FARE_MEAN:0.976482800450621	FARE_STD:0.3888162926431007
AVE_iter:1	EPISODE_REWARD:77.22492588588125	FINISHED_NUM:636.1875	TIME_MEAN:0.0250472805420663	TIME_STD:0.010551955976432954	FARE_MEAN:0.9738914447442886	FARE_STD:0.40309233941920153
AVE_iter:2	EPISODE_REWARD:75.75876087469062	FINISHED_NUM:639.4375	TIME_MEAN:0.025122970640125843	TIME_STD:0.01186012609199431	FARE_MEAN:0.9645431443982722	FARE_STD:0.369378952154197
AVE_iter:3	EPISODE_REWARD:75.51563113255938	FINISHED_NUM:640.4375	TIME_MEAN:0.02519463959914097	TIME_STD:0.01129765093128891	FARE_MEAN:0.9576139490745974	FARE_STD:0.36226320636636417
AVE_iter:4	EPISODE_REWARD:75.44199305875313	FINISHED_NUM:637.46875	TIME_MEAN:0.02438865815481173	TIME_STD:0.010880927023738583	FARE_MEAN:0.9561376564069167	FARE_STD:0.36922713725749134
AVE_iter:5	EPISODE_REWARD:76.46869946016562	FINISHED_NUM:640.21875	TIME_MEAN:0.023435572897805505	TIME_STD:0.009876771835837163	FARE_MEAN:0.9656014997224653	FARE_STD:0.3814243023676652
AVE_iter:6	EPISODE_REWARD:77.4076691686625	FINISHED_NUM:634.1875	TIME_MEAN:0.0240312766481815	TIME_STD:0.010171024690829073	FARE_MEAN:0.974319160647976	FARE_STD:0.3822919630304209
AVE_iter:7	EPISODE_REWARD:75.92141854679062	FINISHED_NUM:639.71875	TIME_MEAN:0.02514432139853042	TIME_STD:0.011370822638794343	FARE_MEAN:0.9623167086581288	FARE_STD:0.39149499258953524
AVE_iter:8	EPISODE_REWARD:76.42352757027498	FINISHED_NUM:640.40625	TIME_MEAN:0.024436009001741362	TIME_STD:0.010768465188715527	FARE_MEAN:0.9730501895739228	FARE_STD:0.3899649367071628
AVE_iter:9	EPISODE_REWARD:76.42405503115313	FINISHED_NUM:637.9375	TIME_MEAN:0.0239996012849521	TIME_STD:0.010873464992167507	FARE_MEAN:0.9671332411741935	FARE_STD:0.39921381791721056
AVE_iter:10	EPISODE_REWARD:76.32828773668437	FINISHED_NUM:637.9375	TIME_MEAN:0.023841121329996773	TIME_STD:0.01061219616641871	FARE_MEAN:0.9676571220906675	FARE_STD:0.38319826466081186
AVE_iter:11	EPISODE_REWARD:77.56780922583438	FINISHED_NUM:646.46875	TIME_MEAN:0.026215147689643163	TIME_STD:0.012921176695563016	FARE_MEAN:0.9884739701854403	FARE_STD:0.39437731476020493
