AVE_iter:0	EPISODE_REWARD:28.76050149035625	FINISHED_NUM:315.125	TIME_MEAN:0.019997896180795574	TIME_STD:0.011754640324608628	FARE_MEAN:0.47347276070772254	FARE_STD:0.1767371953449514
AVE_iter:1	EPISODE_REWARD:30.166378446915623	FINISHED_NUM:323.40625	TIME_MEAN:0.020861490032943644	TIME_STD:0.013220384240644787	FARE_MEAN:0.49279228254218876	FARE_STD:0.19029367277205733
AVE_iter:2	EPISODE_REWARD:28.760876294190624	FINISHED_NUM:325.34375	TIME_MEAN:0.02098017709312656	TIME_STD:0.013331340292528242	FARE_MEAN:0.48062560705893614	FARE_STD:0.18457526382334982
AVE_iter:3	EPISODE_REWARD:29.667403574121877	FINISHED_NUM:318.28125	TIME_MEAN:0.020545082653152948	TIME_STD:0.011942925803954164	FARE_MEAN:0.48435634458881255	FARE_STD:0.18167142375302675
AVE_iter:4	EPISODE_REWARD:29.011065490328125	FINISHED_NUM:319.125	TIME_MEAN:0.020241156458084737	TIME_STD:0.01226142858777158	FARE_MEAN:0.48042983188607596	FARE_STD:0.1855979392160921
AVE_iter:5	EPISODE_REWARD:28.559054644021877	FINISHED_NUM:314.4375	TIME_MEAN:0.019975853947674944	TIME_STD:0.012293662098847455	FARE_MEAN:0.47274453989733417	FARE_STD:0.17960714214903317
AVE_iter:6	EPISODE_REWARD:28.747913672728124	FINISHED_NUM:315.8125	TIME_MEAN:0.02032855156594847	TIME_STD:0.012228618353470968	FARE_MEAN:0.4735752096137512	FARE_STD:0.18227870244242494
AVE_iter:7	EPISODE_REWARD:29.988977270118752	FINISHED_NUM:325.21875	TIME_MEAN:0.020518589625087038	TIME_STD:0.012356681346087374	FARE_MEAN:0.4931215810108669	FARE_STD:0.17380311485307742
AVE_iter:8	EPISODE_REWARD:29.00744600285625	FINISHED_NUM:316.1875	TIME_MEAN:0.020441153768938965	TIME_STD:0.012293502384931598	FARE_MEAN:0.48125564621450295	FARE_STD:0.18623562176892813
AVE_iter:9	EPISODE_REWARD:28.463525657906253	FINISHED_NUM:314.625	TIME_MEAN:0.020165339721017587	TIME_STD:0.012105966090179849	FARE_MEAN:0.47013386794490075	FARE_STD:0.17326606931058047
AVE_iter:10	EPISODE_REWARD:28.978228681859374	FINISHED_NUM:318.21875	TIME_MEAN:0.02052596150247243	TIME_STD:0.013123440158155836	FARE_MEAN:0.47752600324515204	FARE_STD:0.17186601344042568
AVE_iter:11	EPISODE_REWARD:30.954169062103126	FINISHED_NUM:329.375	TIME_MEAN:0.021058332478418908	TIME_STD:0.012768060420423548	FARE_MEAN:0.5057107137653326	FARE_STD:0.18884252718105665
AVE_iter:12	EPISODE_REWARD:29.173770871128127	FINISHED_NUM:320.875	TIME_MEAN:0.020534804556021913	TIME_STD:0.012476394465044179	FARE_MEAN:0.4787884333283271	FARE_STD:0.1729377764605118
AVE_iter:13	EPISODE_REWARD:29.445167100365627	FINISHED_NUM:314.25	TIME_MEAN:0.020254930501396803	TIME_STD:0.011800202436077135	FARE_MEAN:0.4787028949098816	FARE_STD:0.1842206990066234
AVE_iter:14	EPISODE_REWARD:28.672522562506252	FINISHED_NUM:317.125	TIME_MEAN:0.021203018855544303	TIME_STD:0.01316408370778205	FARE_MEAN:0.4760447122565544	FARE_STD:0.1744518570113173
AVE_iter:15	EPISODE_REWARD:30.494175019328125	FINISHED_NUM:320.84375	TIME_MEAN:0.020175086240510398	TIME_STD:0.012043560067754833	FARE_MEAN:0.49542856295847126	FARE_STD:0.1857982435414986
AVE_iter:16	EPISODE_REWARD:30.4437298368375	FINISHED_NUM:325.3125	TIME_MEAN:0.020695079881689372	TIME_STD:0.012986013830926305	FARE_MEAN:0.4977962845655796	FARE_STD:0.17593380083784674
AVE_iter:17	EPISODE_REWARD:29.587955097528123	FINISHED_NUM:322.5	TIME_MEAN:0.02077728276187099	TIME_STD:0.013004000001818535	FARE_MEAN:0.48510973285792774	FARE_STD:0.1869995657302082
AVE_iter:18	EPISODE_REWARD:28.944373939971875	FINISHED_NUM:319.625	TIME_MEAN:0.020749192025484496	TIME_STD:0.013642587270444175	FARE_MEAN:0.479392501348864	FARE_STD:0.17815498001335422
AVE_iter:19	EPISODE_REWARD:29.603790082425	FINISHED_NUM:317.09375	TIME_MEAN:0.020529851856845843	TIME_STD:0.012817921559401663	FARE_MEAN:0.48131346942820225	FARE_STD:0.17094619771803302
AVE_iter:20	EPISODE_REWARD:29.8822527367875	FINISHED_NUM:320.25	TIME_MEAN:0.01988610492954237	TIME_STD:0.01167265647376407	FARE_MEAN:0.48733505654364134	FARE_STD:0.18187458645559185
AVE_iter:21	EPISODE_REWARD:29.07367504226875	FINISHED_NUM:322.21875	TIME_MEAN:0.02015210693898863	TIME_STD:0.01220324717247583	FARE_MEAN:0.48095185703091164	FARE_STD:0.17472168620809303
AVE_iter:22	EPISODE_REWARD:29.44040170089375	FINISHED_NUM:320.625	TIME_MEAN:0.020107573575797504	TIME_STD:0.012315497765673604	FARE_MEAN:0.48409846667138157	FARE_STD:0.18583349503237462
AVE_iter:23	EPISODE_REWARD:29.6561679320875	FINISHED_NUM:319.15625	TIME_MEAN:0.020813693486751043	TIME_STD:0.012701467964215212	FARE_MEAN:0.4870400125462189	FARE_STD:0.18667933229619843
AVE_iter:24	EPISODE_REWARD:27.892930936221873	FINISHED_NUM:315.3125	TIME_MEAN:0.021256928075103078	TIME_STD:0.013419027744196172	FARE_MEAN:0.46504257276234506	FARE_STD:0.16916264282917598
AVE_iter:25	EPISODE_REWARD:29.80606974616875	FINISHED_NUM:326.125	TIME_MEAN:0.020109007003219364	TIME_STD:0.011886501805217392	FARE_MEAN:0.4903508205666226	FARE_STD:0.18225895614372958
AVE_iter:26	EPISODE_REWARD:28.9616092614	FINISHED_NUM:320.125	TIME_MEAN:0.02085457184885852	TIME_STD:0.012809266966257544	FARE_MEAN:0.48081453676344044	FARE_STD:0.18115560280990972
AVE_iter:27	EPISODE_REWARD:28.69396059203125	FINISHED_NUM:316.0625	TIME_MEAN:0.020493142056539942	TIME_STD:0.012842755407860965	FARE_MEAN:0.4751519558854784	FARE_STD:0.1809590962581508
AVE_iter:28	EPISODE_REWARD:29.694841778440626	FINISHED_NUM:317.25	TIME_MEAN:0.020621074460061062	TIME_STD:0.012142844919276478	FARE_MEAN:0.48372874107918995	FARE_STD:0.18002304550343926
AVE_iter:29	EPISODE_REWARD:29.531029604018748	FINISHED_NUM:322.09375	TIME_MEAN:0.021212558703071774	TIME_STD:0.013661023192623687	FARE_MEAN:0.4866735383768988	FARE_STD:0.1768505443217815
AVE_iter:30	EPISODE_REWARD:29.558650193615627	FINISHED_NUM:323.40625	TIME_MEAN:0.0209058493652934	TIME_STD:0.013273001885396455	FARE_MEAN:0.4886697941709089	FARE_STD:0.19075118134613073
AVE_iter:31	EPISODE_REWARD:29.176900908140624	FINISHED_NUM:322.46875	TIME_MEAN:0.020648601866467074	TIME_STD:0.012770675879234257	FARE_MEAN:0.4798964724389505	FARE_STD:0.17312110396565444
AVE_iter:32	EPISODE_REWARD:29.345759954103123	FINISHED_NUM:318.875	TIME_MEAN:0.021327857433140165	TIME_STD:0.013790059363548896	FARE_MEAN:0.4846392994269675	FARE_STD:0.17882489432205634
AVE_iter:33	EPISODE_REWARD:29.45634165668125	FINISHED_NUM:320.34375	TIME_MEAN:0.020773122260683508	TIME_STD:0.012637781630628793	FARE_MEAN:0.48549901316503413	FARE_STD:0.19382462170728842
AVE_iter:34	EPISODE_REWARD:30.302010411609377	FINISHED_NUM:321.75	TIME_MEAN:0.020241393056292075	TIME_STD:0.012322175607724589	FARE_MEAN:0.4904530041490496	FARE_STD:0.18079226637268275
